word_count,char_count,sentence_count,avg_word_length,avg_sentence_length,sentence_variance,type_token_ratio,hapax_ratio,long_word_ratio,short_word_ratio,repetition_ratio,top5_word_freq,question_count,exclamation_count,comma_count,colon_count,semicolon_count,comma_rate,colon_rate,bullet_count,numbered_list_count,markdown_headers,code_blocks,has_bold,paragraph_count,avg_paragraph_length,list_density,capitalized_ratio,all_caps_words,hedge_rate,formality_rate,filler_rate,empathy_rate,first_person_rate,second_person_rate,readability,starts_with_sure,starts_with_certainly,starts_with_here,contains_example,contains_steps,contains_summary,contains_conclusion,parentheses_count,quote_count,model
345,2165,11,5.220289855072464,31.363636363636363,15.226770683718378,0.5681159420289855,0.45507246376811594,0.34492753623188405,0.39710144927536234,0.06956521739130435,0.2463768115942029,0,0,21,15,0,0.06086956521739131,0.043478260869565216,18,7,0,0,1,3,115.0,2.272727272727273,0.10434782608695652,0,0.005797101449275362,0.0,0.002898550724637681,0.0,0.0,0.0,20.915029190992527,0,0,0,0,0,0,0,10,4,llama-3.3-70b-versatile
510,3501,33,5.862745098039215,15.454545454545455,9.682751768902362,0.5392156862745098,0.4196078431372549,0.37254901960784315,0.3588235294117647,0.08823529411764706,0.2235294117647059,0,0,66,11,0,0.12941176470588237,0.021568627450980392,0,10,0,0,1,3,170.0,0.30303030303030304,0.06862745098039216,0,0.0,0.0,0.0,0.00196078431372549,0.0,0.0,17.227426470588256,0,0,0,0,0,0,0,0,1,llama-3.3-70b-versatile
371,2588,35,5.948787061994609,10.6,8.633723210214017,0.6145552560646901,0.477088948787062,0.40431266846361186,0.3045822102425876,0.04851752021563342,0.1509433962264151,0,0,21,22,0,0.05660377358490566,0.05929919137466307,0,16,0,0,1,12,30.916666666666668,0.45714285714285713,0.05929919137466307,2,0.0026954177897574125,0.0,0.0,0.026954177897574125,0.0,0.016172506738544475,31.06799953123172,0,0,0,0,1,0,0,0,0,llama-3.3-70b-versatile
475,2852,30,4.997894736842105,15.833333333333334,10.50363921608169,0.5010526315789474,0.3705263157894737,0.25473684210526315,0.37473684210526315,0.08,0.20421052631578948,0,0,30,17,0,0.06315789473684211,0.035789473684210524,5,10,0,0,1,5,95.0,0.5,0.05894736842105263,0,0.002105263157894737,0.0,0.0,0.0,0.0,0.0,58.83833333333335,0,0,0,1,0,0,0,8,2,llama-3.3-70b-versatile
300,1750,17,4.816666666666666,17.647058823529413,9.243439644990831,0.5033333333333333,0.36666666666666664,0.24,0.41,0.11666666666666667,0.25666666666666665,0,0,16,4,0,0.05333333333333334,0.013333333333333334,0,3,0,0,0,7,42.857142857142854,0.17647058823529413,0.06666666666666667,1,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,54.84100000000004,0,0,0,0,0,0,0,2,6,llama-3.3-70b-versatile
419,2986,31,6.114558472553699,13.516129032258064,10.651669564726884,0.548926014319809,0.3937947494033413,0.42720763723150357,0.3198090692124105,0.05489260143198091,0.17422434367541767,0,0,27,17,0,0.06443914081145585,0.0405727923627685,0,14,0,0,1,7,59.857142857142854,0.45161290322580644,0.0477326968973747,0,0.016706443914081145,0.0,0.0,0.011933174224343675,0.0,0.00954653937947494,17.178387231503592,0,0,0,0,1,0,0,0,4,llama-3.3-70b-versatile
387,2501,34,5.447028423772609,11.382352941176471,9.231089452373341,0.5581395348837209,0.42377260981912146,0.330749354005168,0.3385012919896641,0.06976744186046512,0.1937984496124031,0,0,31,19,0,0.08010335917312661,0.04909560723514212,0,15,0,0,1,8,48.375,0.4411764705882353,0.09302325581395349,0,0.0,0.0,0.0,0.015503875968992248,0.0,0.04392764857881137,51.69650634249473,0,0,0,1,0,0,1,0,0,llama-3.3-70b-versatile
377,2730,23,6.23342175066313,16.391304347826086,13.995905668947298,0.5490716180371353,0.44297082228116713,0.44297082228116713,0.3129973474801061,0.07692307692307693,0.22015915119363394,0,0,31,9,0,0.08222811671087533,0.023872679045092837,4,7,0,0,1,5,75.4,0.4782608695652174,0.058355437665782495,0,0.002652519893899204,0.0,0.0,0.010610079575596816,0.0,0.0,21.26175682069075,0,0,0,1,0,0,0,0,1,llama-3.3-70b-versatile
380,2673,21,6.028947368421052,18.095238095238095,13.776446428251235,0.5263157894736842,0.40789473684210525,0.39210526315789473,0.2789473684210526,0.07368421052631578,0.23421052631578948,0,0,40,8,0,0.10526315789473684,0.021052631578947368,0,7,0,0,1,4,95.0,0.3333333333333333,0.042105263157894736,2,0.03684210526315789,0.0,0.002631578947368421,0.005263157894736842,0.0,0.0,25.502192982456137,0,0,0,1,0,0,0,2,3,llama-3.3-70b-versatile
481,3397,29,6.039501039501039,16.586206896551722,10.815059742848364,0.49480249480249483,0.35343035343035345,0.44282744282744285,0.2972972972972973,0.06860706860706861,0.20374220374220375,0,0,27,17,0,0.056133056133056136,0.035343035343035345,0,10,0,0,1,13,37.0,0.3448275862068966,0.06652806652806653,2,0.008316008316008316,0.0,0.002079002079002079,0.002079002079002079,0.0,0.0,15.443409090909114,0,0,0,0,1,1,1,2,7,llama-3.3-70b-versatile
